observed,place,area,kind,built_m2,asking_old,asking_new,currency,asking_new_usd,pct,days_listed,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location,trust_band,trust_score
2026-09-21,"San Lorenzo, Central",,terreno,,350000000,335000000,PYG,57024,-4.3,60,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-lorenzo/143036021-153,-25.33889,-57.52838,,,,,,sin datos,
2026-09-24,"Villa Elisa, Central",,casa,715,1200000000,1150000000,PYG,195753,-4.2,218,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143080161-18,-25.36248,-57.58693,203996,120623,348120,39,shared_point,alta,85
2026-09-22,"Luque, Central",,casa,300,1200000000,1150000000,PYG,195753,-4.2,100,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143098095-1,-25.24553,-57.50505,138403,83484,227229,42,exact,alta,85
2026-09-20,"Caacupé, Cordillera",,casa,350,730000000,700000000,PYG,119154,-4.1,225,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/caacupe/143094043-26,-25.38035,-57.14252,,,,,,alta,90
2026-09-23,"Ñemby, Central",,duplex,210,780000000,750000000,PYG,127665,-3.8,199,remax,1,https://www.remax.com.py/es-py/propiedades/duplex/venta/nemby/143091063-5,-25.37399,-57.53278,,,,,,alta,90
2026-09-23,"Itauguá, Central",,casa,180,270000000,260000000,PYG,44257,-3.7,207,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/itaugua/143092058-104,-25.39277,-57.39677,31660,19097,51979,42,exact,alta,85
2026-09-23,"Limpio, Central",,terreno,,300000000,289000000,PYG,49194,-3.7,219,infocasas,1,https://www.infocasas.com.py/terreno-de-1200-m%C2%B2-apto-para-desarrollo-inmobiliario-limpio/193414335,-25.16112,-57.472,,,,,,alta,75
2026-09-22,"Loma Plata, Boquerón",,terreno,,136000000,131000000,PYG,22299,-3.7,87,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/loma-plata/143078013-66,-22.55546,-59.82585,,,,,,alta,85
2026-09-23,"Areguá, Central",,terreno,,140000,135000,USD,135000,-3.6,139,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/aregua/143061068-49,-25.30524,-57.38768,140461,65750,258982,19,exact,alta,85
2026-09-22,"Ñemby, Central",,terreno,,850000000,820000000,PYG,139581,-3.5,54,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/nemby/143036152-18,-25.37414,-57.55716,83952,39298,154790,19,exact,alta,85
2026-09-25,Asunción,Mburicaó,casa,350,290000,280000,USD,280000,-3.4,64,infocasas,1,https://www.infocasas.com.py/en-el-bo-tembetary-vendo-casa/194029587,-25.30959,-57.58681,227997,156041,366665,50,exact,alta,75
2026-09-22,Asunción,Mburucuyá,casa,230,1450000000,1400000000,PYG,238308,-3.4,752,infocasas,1,https://www.infocasas.com.py/vendo-casa-b-mburucuya-z-paraguay-lawn-tenis-club/191307460,-25.26508,-57.5753,241514,165292,388402,50,exact,alta,75
2026-09-25,Asunción,Itá Enramada,terreno,,450000000,435000000,PYG,74046,-3.3,131,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143061077-25,-25.36034,-57.63985,125763,92725,257600,16,exact,alta,85
2026-09-23,"Lambaré, Central",,casa,540,600000,580000,USD,580000,-3.3,16,infocasas,1,https://www.infocasas.com.py/imponente-residencia-de-arquitectura-moderna-y-minimalista-amoblada-zona-yacht/194236951,-25.36945,-57.63357,211015,127284,346444,42,exact,alta,75
2026-09-23,"Capiatá, Central",,casa,250,650000000,630000000,PYG,107239,-3.1,118,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143092058-118,-25.34182,-57.47283,57195,34500,93902,42,exact,alta,85
2026-09-22,"Loma Plata, Boquerón",,terreno,,165400000,160400000,PYG,27303,-3,87,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/loma-plata/143078013-65,-22.5539,-59.8273,,,,,,alta,85
2026-09-24,"San Bernardino, Cordillera",,casa,108,170000,165000,USD,165000,-2.9,103,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143061061-160,-25.3353,-57.28258,,,,,,alta,85
2026-09-25,"Encarnación, Itapúa",,otro,,89300,87000,USD,87000,-2.6,48,remax,1,https://www.remax.com.py/es-py/propiedades/otro/venta/encarnacion/143032069-106,-27.33342,-55.87392,,,,,,alta,85
2026-09-23,"San Bernardino, Cordillera",,terreno,,220000000,215000000,PYG,36597,-2.3,54,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/114006036-21,-25.35159,-57.27113,,,,,,alta,90
2026-09-23,"Luque, Central",,duplex,,660000000,650000000,PYG,110643,-1.5,221,remax,1,https://www.remax.com.py/es-py/propiedades/duplex/venta/luque/114006001-275,-25.30313,-57.50667,,,,,,alta,85
2026-09-25,"Caacupé, Cordillera",,casa,350,700000000,690000000,PYG,117452,-1.4,225,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/caacupe/143094043-26,-25.38035,-57.14252,,,,,,alta,90
