rank,place,barrio,kind,area_m2,area_figure,bedrooms,bathrooms,asking_usd,asking_native,currency,score,part_cuts,part_staleness,part_ask,part_relist,days_listed,share_of_recent_closes_that_took_fewer_days,recent_closes_median_days,cuts_seen,cut_depth,ask_usd_m2,segment_median_terminal_ask_usd_m2,ask_m2_share_below,relisted_below_earlier_ask,listings,source,url,department_market,city_market
92,"San Bernardino, Cordillera",,terreno,597.27,land,,,69700,69700,USD,0.469,0,0.9804,1,0,813,0.9804,146,0,0,116.7,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143010040-251,Cordillera,San Bernardino
93,"San Bernardino, Cordillera",,terreno,1492,land,,,91123.31,537120000,PYG,0.469,0,0.9804,1,0,823,0.9804,146,0,0,61.07,23.03,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098009-593,Cordillera,San Bernardino
94,"San Bernardino, Cordillera",,terreno,913,land,,,77580,77580,USD,0.469,0,0.9804,1,0,1135,0.9804,146,0,0,84.97,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143005065-2,Cordillera,San Bernardino
95,"San Bernardino, Cordillera",,terreno,1005,land,,,68851,68851,USD,0.469,0,0.9804,1,0,1135,0.9804,146,0,0,68.51,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143005065-3,Cordillera,San Bernardino
96,"San Bernardino, Cordillera",,terreno,1250,land,,,110000,110000,USD,0.469,0,0.9804,1,0,1129,0.9804,146,0,0,88,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143094012-3,Cordillera,San Bernardino
97,"Limpio, Central",,casa,180,built,4,3,185000,185000,USD,0.468,0,0.9792,1,0,760,0.9792,141.5,0,0,1027.78,542.23,0.9454,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143063147-56,Central,Limpio
98,"Luque, Central",,casa,65,built,2,1,67664.36,398842813,PYG,0.468,0,0.9792,1,0,765,0.9792,141.5,0,0,1040.99,542.23,0.9454,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143032070-1,Central,Luque
99,"Limpio, Central",,casa,140,built,3,3,140000,140000,USD,0.468,0,0.9792,1,0,760,0.9792,141.5,0,0,1000,542.23,0.929,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143063147-55,Central,Limpio
100,"Limpio, Central",,casa,100,built,2,2,115000,115000,USD,0.468,0,0.9792,1,0,763,0.9792,141.5,0,0,1150,542.23,0.9836,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143063147-54,Central,Limpio
101,"Ciudad del Este, Alto Paraná",,terreno,360,land,,,65000,65000,USD,0.468,0.6071,0.2705,0.8232,0,44,0.2705,131.5,1,0.0714,180.56,80.9,0.8293,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143050134-19,Alto Paraná,Ciudad del Este
102,Asunción,Mburucuyá,departamento,91.53,total,2,2,150000,150000,USD,0.468,0.75,0.7289,0,0,171,0.7289,62.5,1,0.1176,1638.81,1671.33,0.4651,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063217-16,Asunción,
103,Asunción,Las Lomas (Carmelitas),departamento,47,total,1,1,130000,130000,USD,0.467,0,0.9737,1,0,588,0.9737,62.5,0,0,2765.96,1671.33,0.9767,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143054045-73,Asunción,
104,"Luque, Central",,departamento,51,built,2,1,85000,85000,USD,0.467,0,0.9735,1,0,995,0.9735,45,0,0,1666.67,1097.06,0.9259,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/luque/143098017-13,Central,Luque
105,"Luque, Central",,casa,136,built,4,2,92460.17,545000000,PYG,0.466,0.5919,0.599,0.4303,0,182,0.599,141.5,1,0.0684,679.85,542.23,0.6721,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143096049-10,Central,Luque
106,"Luque, Central",,terreno,667,land,,,213000,213000,USD,0.466,0,0.9702,1,0,715,0.9702,119.5,0,0,319.34,92.66,0.9467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143063179-6,Central,Luque
107,"Encarnación, Itapúa",,terreno,650,land,,,200000,200000,USD,0.466,0,0.9701,1,0,1774,0.9701,281,0,0,307.69,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011043-88,Itapúa,Encarnación
108,"Encarnación, Itapúa",,terreno,520,land,,,170000,170000,USD,0.466,0,0.9701,1,0,1859,0.9701,281,0,0,326.92,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011008-209,Itapúa,Encarnación
