first_seen,place,area,kind,built_m2,bedrooms,asking,currency,asking_usd,asking_usd_m2,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location
2026-09-21,"San Lorenzo, Central",,casa,147,3,750000000,PYG,127239,865,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143114003-4,,,,,,,
2026-09-23,"San Lorenzo, Central",,casa,300,3,1100000000,PYG,186617,622,infocasas,1,https://www.infocasas.com.py/vendo-casa-en-san-lorenzo/194294781,,,,,,,
2026-09-22,"San Lorenzo, Central",,duplex,130,3,490000000,PYG,83129,639,remax,1,https://www.remax.com.py/es-py/propiedades/duplex/venta/san-lorenzo/143114014-1,-25.35922,-57.5225,,,,,
2026-09-21,"Villa Elisa, Central",,casa,72,2,390000000,PYG,66164,919,infocasas,1,https://www.infocasas.com.py/vendo-casa-a-estrenar-en-villa-elisa-%E2%80%93-apta-para-credito-bancario/194259301,-25.37703,-57.58473,50202,29910,82271,42,exact
2026-09-25,"Villa Elisa, Central",,casa,80,3,450000000,PYG,76343,954,infocasas,1,https://www.infocasas.com.py/%C2%A1tu-hogar-ideal-en-pleno-villa-elisa/194302826,-25.37703,-57.58473,64945,38694,106431,42,exact
2026-09-24,"Villa Elisa, Central",,casa,120,2,495000000,PYG,83978,700,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143061103-3,-25.38474,-57.60141,54457,32446,89245,42,exact
2026-09-23,"Villa Elisa, Central",,casa,205,2,750000000,PYG,127239,621,infocasas,1,https://www.infocasas.com.py/vendo-casa-en-esquina-en-el-centro-de-villa-elisa/194271723,,,,,,,
2026-09-24,"Villa Elisa, Central",,casa,650,5,1700000000,PYG,288408,444,infocasas,1,https://www.infocasas.com.py/venta-de-edificio-de-4-plantas-con-terraza-con-renta-activa/194281427,-25.37628,-57.58472,139282,82984,228256,42,exact
2026-09-20,"Villeta, Central",,casa,170,2,400000000,PYG,67861,399,infocasas,1,https://www.infocasas.com.py/quinta-venta-villeta-central-paraguay/194283650,,,,,,,
2026-09-23,"Villeta, Central",,casa,229,3,390000000,PYG,66164,289,infocasas,1,https://www.infocasas.com.py/venta-de-casa-en-villeta-/194304389,-25.50155,-57.56288,94326,56199,154581,42,exact
2026-09-19,"Villeta, Central",,casa,608,3,1390000000,PYG,235816,388,infocasas,1,https://www.infocasas.com.py/en-venta-hermosa-propiedad-en-el-centro-de-villeta/194255808,,,,,,,
2026-09-19,"Ypacaraí, Central",,casa,60,2,580000000,PYG,98398,1640,infocasas,1,https://www.infocasas.com.py/chalet-venta-ypacarai-central-paraguay/194279566,-25.40506,-57.28907,42631,25399,69864,42,exact
2026-09-19,"Ypané, Central",,casa,145,2,460000000,PYG,78040,538,infocasas,2,https://www.infocasas.com.py/casa-venta-ypane-central-paraguay/194274278,,,,,,,
2026-09-23,"Ypané, Central",,casa,346,3,450000,USD,450000,1301,infocasas,1,https://www.infocasas.com.py/vendo-propiedad-en-ypane-sobre-acceso-sur/194301229,-25.46927,-57.50669,,,,,
2026-09-24,"Ypané, Central",,casa,440,4,2500000000,PYG,424129,964,infocasas,1,https://www.infocasas.com.py/vendo-residencia-amoblada-en-barrio-cerrado-pilar-del-este-ypane/194308859,,,,,,,
2026-09-23,"Eusebio Ayala, Cordillera",,casa,320,7,1300000,USD,1300000,4062,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/eusebio-ayala/143054072-89,-25.38949,-56.97107,,,,,
2026-09-19,"San Bernardino, Cordillera",,casa,90,2,500000000,PYG,84826,943,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143063221-44,-25.33658,-57.24409,,,,,
2026-09-19,"Independencia, Guairá",,casa,290,4,685000,USD,685000,2362,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/independencia/143063256-2,-25.69153,-56.26499,,,,,
2026-09-23,"Capitán Miranda, Itapúa",,casa,71,3,280000000,PYG,47502,669,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/capitan-miranda/143085019-596,-27.22165,-55.8338,,,,,
2026-09-21,"Encarnación, Itapúa",,casa,180,2,1000000000,PYG,169652,943,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143085018-150,,,,,,,
2026-09-23,"Encarnación, Itapúa",,casa,200,0,470000000,PYG,79736,399,uprop,1,https://uprop.com.py/detail/casa-en-venta-6-ambientes-f94cb018-c0e6-4ee9-8d69-ca833cf8860e,-27.30454,-55.86707,,,,,
2026-09-24,"Encarnación, Itapúa",,casa,300,4,200000000,PYG,33930,113,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143011118-3,-27.29489,-55.93076,,,,,
2026-09-21,"Encarnación, Itapúa",,departamento,43,1,41985,USD,41985,966,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/encarnacion/143085019-595,-27.26597,-55.81876,,,,,
2026-09-23,"Encarnación, Itapúa",,departamento,63,2,430000000,PYG,72950,1158,uprop,1,https://uprop.com.py/detail/departamento-en-venta-3-ambientes-a31a504a-30ae-4058-979a-c739b4a9f13a,-27.33329,-55.87226,,,,,
